model_name,family,accuracy,sensitive_feature,demographic_parity_difference,equalized_odds_difference,total_unfairness
GradientBoosting_1,GradientBoosting,0.8196666666666667,sex,0.017674927872305873,0.011534813128438626,0.0292097410007445
GradientBoosting_1,GradientBoosting,0.8196666666666667,age,0.07724513881083513,0.09235300534526014,0.16959814415609525
GradientBoosting_1,GradientBoosting,0.8196666666666667,education,0.15866388308977036,0.411522633744856,0.5701865168346263
GradientBoosting_2,GradientBoosting,0.8195,sex,0.009771064825415593,0.0067349649022955815,0.016506029727711174
GradientBoosting_2,GradientBoosting,0.8195,age,0.07768067888052153,0.08489145849241841,0.16257213737293996
GradientBoosting_2,GradientBoosting,0.8195,education,0.15657620041753653,0.3991769547325103,0.5557531551500469
GradientBoosting_3,GradientBoosting,0.8208333333333333,sex,0.002324461522876159,0.019827831531018802,0.02215229305389496
GradientBoosting_3,GradientBoosting,0.8208333333333333,age,0.05282679554906149,0.07605715575912009,0.1288839513081816
GradientBoosting_3,GradientBoosting,0.8208333333333333,education,0.14509394572025053,0.3868312757201646,0.5319252214404151
GradientBoosting_4,GradientBoosting,0.8206666666666667,sex,0.01019363111420113,0.008520679188009861,0.01871431030221099
GradientBoosting_4,GradientBoosting,0.8206666666666667,age,0.061551646622457004,0.08264426748118248,0.14419591410363947
GradientBoosting_4,GradientBoosting,0.8206666666666667,education,0.15553235908141963,0.4156378600823045,0.5711702191637241
GradientBoosting_5,GradientBoosting,0.8198333333333333,sex,0.011866549541560675,0.008250379541484137,0.020116929083044813
GradientBoosting_5,GradientBoosting,0.8198333333333333,age,0.06242272676182982,0.08218559494242489,0.1446083217042547
GradientBoosting_5,GradientBoosting,0.8198333333333333,education,0.1534446764091858,0.411522633744856,0.5649673101540418
